ID,cluster.id,task,prof_id,alt,project_forest,project_sea_grass,project_research,cobenefit_promotion,cobenefit_safety,cobenefit_none,fores_promo,fores_safe,sea_promo,sea_safe,research,price,choice,type
1,1,1,7,A,0,1,0,1,0,0,0,0,1,0,0,0,0,BEST
1,1,1,12,B,0,1,0,0,1,0,0,0,0,1,0,2,0,BEST
1,1,1,10,C,0,1,0,0,1,0,0,0,0,1,0,0,0,BEST
1,1,1,2,D,1,0,0,1,0,0,1,0,0,0,0,1,1,BEST
1,1,2,12,A,0,1,0,0,1,0,0,0,0,1,0,2,0,BEST
1,1,2,11,B,0,1,0,0,1,0,0,0,0,1,0,1,0,BEST
1,1,2,1,C,1,0,0,1,0,0,1,0,0,0,0,0,0,BEST
1,1,2,13,D,0,0,1,0,0,1,0,0,0,0,1,1,1,BEST
1,1,3,2,A,1,0,0,1,0,0,1,0,0,0,0,1,1,BEST
1,1,3,1,B,1,0,0,1,0,0,1,0,0,0,0,0,0,BEST
1,1,3,4,C,1,0,0,0,1,0,0,1,0,0,0,0,0,BEST
1,1,3,3,D,1,0,0,1,0,0,1,0,0,0,0,2,0,BEST
1,1,4,5,A,1,0,0,0,1,0,0,1,0,0,0,1,0,BEST
1,1,4,2,B,1,0,0,1,0,0,1,0,0,0,0,1,0,BEST
1,1,4,13,C,0,0,1,0,0,1,0,0,0,0,1,1,0,BEST
1,1,4,8,D,0,1,0,1,0,0,0,0,1,0,0,1,1,BEST
1,1,5,5,A,1,0,0,0,1,0,0,1,0,0,0,1,0,BEST
1,1,5,7,B,0,1,0,1,0,0,0,0,1,0,0,0,0,BEST
1,1,5,6,C,1,0,0,0,1,0,0,1,0,0,0,2,1,BEST
1,1,5,1,D,1,0,0,1,0,0,1,0,0,0,0,0,0,BEST
1,1,6,13,A,0,0,1,0,0,1,0,0,0,0,1,1,0,BEST
1,1,6,9,B,0,1,0,1,0,0,0,0,1,0,0,2,1,BEST
1,1,6,4,C,1,0,0,0,1,0,0,1,0,0,0,0,0,BEST
1,1,6,7,D,0,1,0,1,0,0,0,0,1,0,0,0,0,BEST
1,1,7,8,A,0,1,0,1,0,0,0,0,1,0,0,1,0,BEST
1,1,7,11,B,0,1,0,0,1,0,0,0,0,1,0,1,1,BEST
1,1,7,3,C,1,0,0,1,0,0,1,0,0,0,0,2,0,BEST
1,1,7,7,D,0,1,0,1,0,0,0,0,1,0,0,0,0,BEST
1,1,8,12,A,0,1,0,0,1,0,0,0,0,1,0,2,0,BEST
1,1,8,4,B,1,0,0,0,1,0,0,1,0,0,0,0,1,BEST
1,1,8,8,C,0,1,0,1,0,0,0,0,1,0,0,1,0,BEST
1,1,8,6,D,1,0,0,0,1,0,0,1,0,0,0,2,0,BEST
1,1,9,4,A,1,0,0,0,1,0,0,1,0,0,0,0,1,BEST
1,1,9,10,B,0,1,0,0,1,0,0,0,0,1,0,0,0,BEST
1,1,9,11,C,0,1,0,0,1,0,0,0,0,1,0,1,0,BEST
1,1,9,5,D,1,0,0,0,1,0,0,1,0,0,0,1,0,BEST
1,1,10,8,A,0,1,0,1,0,0,0,0,1,0,0,1,0,BEST
1,1,10,9,B,0,1,0,1,0,0,0,0,1,0,0,2,0,BEST
1,1,10,1,C,1,0,0,1,0,0,1,0,0,0,0,0,1,BEST
1,1,10,10,D,0,1,0,0,1,0,0,0,0,1,0,0,0,BEST
1,1,11,5,A,1,0,0,0,1,0,0,1,0,0,0,1,0,BEST
1,1,11,9,B,0,1,0,1,0,0,0,0,1,0,0,2,0,BEST
1,1,11,3,C,1,0,0,1,0,0,1,0,0,0,0,2,0,BEST
1,1,11,12,D,0,1,0,0,1,0,0,0,0,1,0,2,1,BEST
1,1,12,9,A,0,1,0,1,0,0,0,0,1,0,0,2,0,BEST
1,1,12,2,B,1,0,0,1,0,0,1,0,0,0,0,1,0,BEST
1,1,12,11,C,0,1,0,0,1,0,0,0,0,1,0,1,1,BEST
1,1,12,6,D,1,0,0,0,1,0,0,1,0,0,0,2,0,BEST
1,1,13,3,A,1,0,0,1,0,0,1,0,0,0,0,2,0,BEST
1,1,13,10,B,0,1,0,0,1,0,0,0,0,1,0,0,0,BEST
1,1,13,13,C,0,0,1,0,0,1,0,0,0,0,1,1,1,BEST
1,1,13,6,D,1,0,0,0,1,0,0,1,0,0,0,2,0,BEST
1,1,101,7,A,0,-1,0,-1,0,0,0,0,-1,0,0,0,0,WORST
1,1,101,12,B,0,-1,0,0,-1,0,0,0,0,-1,0,-2,0,WORST
1,1,101,10,C,0,-1,0,0,-1,0,0,0,0,-1,0,0,1,WORST
1,1,101,2,D,-1,0,0,-1,0,0,-1,0,0,0,0,-1,0,WORST
1,1,102,12,A,0,-1,0,0,-1,0,0,0,0,-1,0,-2,0,WORST
1,1,102,11,B,0,-1,0,0,-1,0,0,0,0,-1,0,-1,1,WORST
1,1,102,1,C,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,WORST
1,1,102,13,D,0,0,-1,0,0,-1,0,0,0,0,-1,-1,0,WORST
1,1,103,2,A,-1,0,0,-1,0,0,-1,0,0,0,0,-1,0,WORST
1,1,103,1,B,-1,0,0,-1,0,0,-1,0,0,0,0,0,1,WORST
1,1,103,4,C,-1,0,0,0,-1,0,0,-1,0,0,0,0,0,WORST
1,1,103,3,D,-1,0,0,-1,0,0,-1,0,0,0,0,-2,0,WORST
1,1,104,5,A,-1,0,0,0,-1,0,0,-1,0,0,0,-1,0,WORST
1,1,104,2,B,-1,0,0,-1,0,0,-1,0,0,0,0,-1,0,WORST
1,1,104,13,C,0,0,-1,0,0,-1,0,0,0,0,-1,-1,1,WORST
1,1,104,8,D,0,-1,0,-1,0,0,0,0,-1,0,0,-1,0,WORST
1,1,105,5,A,-1,0,0,0,-1,0,0,-1,0,0,0,-1,1,WORST
1,1,105,7,B,0,-1,0,-1,0,0,0,0,-1,0,0,0,0,WORST
1,1,105,6,C,-1,0,0,0,-1,0,0,-1,0,0,0,-2,0,WORST
1,1,105,1,D,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,WORST
1,1,106,13,A,0,0,-1,0,0,-1,0,0,0,0,-1,-1,1,WORST
1,1,106,9,B,0,-1,0,-1,0,0,0,0,-1,0,0,-2,0,WORST
1,1,106,4,C,-1,0,0,0,-1,0,0,-1,0,0,0,0,0,WORST
1,1,106,7,D,0,-1,0,-1,0,0,0,0,-1,0,0,0,0,WORST
1,1,107,8,A,0,-1,0,-1,0,0,0,0,-1,0,0,-1,0,WORST
1,1,107,11,B,0,-1,0,0,-1,0,0,0,0,-1,0,-1,0,WORST
1,1,107,3,C,-1,0,0,-1,0,0,-1,0,0,0,0,-2,1,WORST
1,1,107,7,D,0,-1,0,-1,0,0,0,0,-1,0,0,0,0,WORST
1,1,108,12,A,0,-1,0,0,-1,0,0,0,0,-1,0,-2,0,WORST
1,1,108,4,B,-1,0,0,0,-1,0,0,-1,0,0,0,0,0,WORST
1,1,108,8,C,0,-1,0,-1,0,0,0,0,-1,0,0,-1,0,WORST
1,1,108,6,D,-1,0,0,0,-1,0,0,-1,0,0,0,-2,1,WORST
1,1,109,4,A,-1,0,0,0,-1,0,0,-1,0,0,0,0,0,WORST
1,1,109,10,B,0,-1,0,0,-1,0,0,0,0,-1,0,0,0,WORST
